Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
307;Cameron Payne;PG;28;PHO;5;0;16.2;3.2;7.4;0.432;1;2.2;0.455;2.2;5.2;0.423;0.5;1;1.2;0.833;0.4;1.6;2;2.8;0.6;0.2;1.6;1.2;8.4
308;Theo Pinson;SG;27;DAL;1;0;7;0;0;0;0;0;0;0;0;0;0;2;2;1;0;2;2;1;0;0;0;0;2
309;Scotty Pippen Jr.;PG;22;LAL;1;0;2;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;2
310;Mason Plumlee;C;32;CHO;5;5;23.8;2.8;4.6;0.609;0;0;0;2.8;4.6;0.609;0.609;2;3.4;0.588;2;4.2;6.2;4.4;0.2;0.6;1.6;3.4;7.6
311;Jakob Poeltl;C;27;SAS;6;6;28.7;6.5;10;0.65;0;0;0;6.5;10;0.65;0.65;2.8;4.8;0.586;4.8;6.2;11;3.7;0.5;0.5;2;1.8;15.8
312;Aleksej Pokusevski;PF;21;OKC;5;2;18.6;2.4;7;0.343;1;3;0.333;1.4;4;0.35;0.414;1;2;0.5;1.6;2.4;4;1.6;0.6;0.6;1.4;1.4;6.8
313;Jordan Poole;SG;23;GSW;5;0;26.2;4.6;10.6;0.434;1.6;5;0.32;3;5.6;0.536;0.509;3.4;4.2;0.81;0;1.2;1.2;6;1.4;0;2.4;2.2;14.2
314;Kevin Porter Jr.;PG;22;HOU;6;6;34.5;7.3;17.5;0.419;1.8;5;0.367;5.5;12.5;0.44;0.471;4;4.8;0.828;2.2;4.2;6.3;5.2;1.7;0.5;3.8;2.7;20.5
315;Michael Porter Jr.;SF;24;DEN;5;5;29.2;6.6;13.2;0.5;4;7.4;0.541;2.6;5.8;0.448;0.652;1.6;2;0.8;1.8;5.4;7.2;1.2;0.6;0.4;1.6;4;18.8
316;Bobby Portis;PF;27;MIL;4;0;24.3;5.8;11.8;0.489;1.3;3.3;0.385;4.5;8.5;0.529;0.543;1.3;1.5;0.833;3.8;6.5;10.3;0.5;0.8;0.8;0.8;1.8;14
317;Kristaps Porzi??is;PF;27;WAS;5;5;31;6.6;13.8;0.478;2.2;5.2;0.423;4.4;8.6;0.512;0.558;2.4;3.2;0.75;1.8;5.6;7.4;2.2;0.6;1;2;4.2;17.8
318;Micah Potter;PF;24;UTA;1;0;8;2;2;1;0;0;0;2;2;1;1;0;0;0;1;2;3;1;0;0;0;1;4
319;Dwight Powell;C;31;DAL;1;0;7;0;0;0;0;0;0;0;0;0;0;1;2;0.5;0;0;0;0;0;1;1;2;1
320;Norman Powell;SG;29;LAC;5;5;27.2;3.8;10.4;0.365;0.6;3.8;0.158;3.2;6.6;0.485;0.394;1.6;2.6;0.615;0.2;2.8;3;1.6;0.6;0.2;3.2;1.8;9.8
